question,expected_intent,predicted_intent,confidence,agency,recommended_action,escalation,pass_fail,answer
Trash was not picked up on my block. Can I report it?,trash_sanitation,trash_sanitation,0.6,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,PASS,"1. Likely issue: Missed trash collection on your block.
2. Recommended next step: You can file a 311 sanitation complaint online or by phone. Be sure to include your exact location and specify that trash was not picked up.
3. Agency or service area: Department of Sanitation (DSNY).
4. Notes from project or NYC 311 data: Missed trash collection is a common sanitation complaint handled by DSNY. Response times vary, with some cases resolved quickly and others taking longer. Providing detailed location information helps DSNY address the issue efficiently.
5. Escalation guidance if needed: If the missed trash collection poses a health hazard or is part of a larger sanitation emergency, you may want to follow up with 311 or DSNY directly. For emergencies involving safety or health risks, call 911."
There is illegal dumping on the sidewalk.,trash_sanitation,trash_sanitation,0.6,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,PASS,"1. Likely issue: Illegal dumping on the sidewalk.
2. Recommended next step: File a 311 sanitation complaint with the exact location and description of the illegal dumping.
3. Agency or service area: Department of Sanitation (DSNY).
4. Notes from project or NYC 311 data: Illegal dumping is a common sanitation complaint with over 31,000 requests historically. DSNY handles these issues, and complaints typically receive a response within hours to days depending on workload.
5. Escalation guidance if needed: If the dumping poses an immediate safety hazard or involves hazardous materials, call 911. Otherwise, follow up with 311 if the issue is not resolved in a timely manner."
Someone left furniture outside for days.,trash_sanitation,trash_sanitation,0.6,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,PASS,"1. Likely issue: Furniture left outside for days is considered illegal dumping or improper disposal of bulky items.

2. Recommended next step: File a 311 sanitation complaint providing the exact location and description of the furniture left outside. This helps the Department of Sanitation New York (DSNY) address the issue promptly.

3. Agency or service area: Department of Sanitation New York (DSNY).

4. Notes from project or NYC 311 data: Illegal dumping is a common sanitation complaint in NYC. DSNY handles bulky item removal and enforces rules against leaving furniture on sidewalks for extended periods. Response times can vary, with some cases resolved quickly and others taking longer.

5. Escalation guidance if needed: If the furniture poses a safety hazard or blocks pedestrian pathways, and the situation is urgent, consider calling 311 immediately. For emergencies or safety threats, call 911."
My recycling was missed. What should I do?,trash_sanitation,trash_sanitation,0.6,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,PASS,"1. Likely issue: Your recycling collection was missed by the Department of Sanitation.

2. Recommended next step: File a 311 sanitation complaint online or by phone. Be sure to include your exact location and specify that your recycling was not collected.

3. Agency or service area: NYC Department of Sanitation (DSNY).

4. Notes from project or NYC 311 data: Missed recycling pickups are a common sanitation complaint. Response times vary, with some delays concentrated in certain cases. Reporting missed collection helps DSNY address service gaps.

5. Escalation guidance if needed: If the issue persists after reporting, continue to follow up with 311. For emergencies or safety concerns, call 911. This prototype does not submit requests or track live status."
There are overflowing garbage cans near my building.,trash_sanitation,trash_sanitation,0.75,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,PASS,"1. Likely issue: Overflowing garbage cans indicating missed or improper trash collection near your building.

2. Recommended next step: File a 311 sanitation complaint specifying the exact location and describing the overflowing garbage issue. This helps the Department of Sanitation (DSNY) address the problem.

3. Agency or service area: Department of Sanitation New York (DSNY).

4. Notes from project or NYC 311 data: Overflowing garbage complaints fall under sanitation issues handled by DSNY. Median response times vary, and some cases may take longer to resolve depending on workload and location. Providing clear location details improves service efficiency.

5. Escalation guidance if needed: If the garbage poses a health hazard or attracts pests aggressively, or if the issue persists despite reporting, consider following up with 311 or contacting local community boards for additional support.

Please note this prototype does not submit official 311 requests or check live request status. For emergencies or immediate safety concerns, call 911."
There is a pothole on my street.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,none,PASS,"1. Likely issue: There is a pothole on your street, which is a street condition problem.

2. Recommended next step: You should file a 311 complaint specifically for street or sidewalk conditions, providing the exact location of the pothole to help the Department of Transportation (DOT) address it.

3. Agency or service area: Department of Transportation (DOT) is typically responsible for pothole repairs.

4. Notes from project or NYC 311 data: Pothole complaints are common and usually handled by DOT. Many such complaints are resolved quickly, sometimes on the same day, but response times can vary. Recent data shows DOT often refers these complaints to maintenance units for repair.

5. Escalation guidance if needed: If the pothole poses an immediate safety hazard or causes an accident, call 911. Otherwise, follow up with 311 if the pothole is not repaired in a reasonable time after filing a complaint.

This prototype does not submit official 311 requests or track live status. For official service, please contact 311 directly."
The sidewalk is cracked and dangerous.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,311_urgent_or_911_if_immediate_danger,PASS,"1. Likely issue: Cracked and potentially hazardous sidewalk condition.
2. Recommended next step: File a 311 complaint specifying the exact location of the cracked sidewalk so the Department of Transportation (DOT) can assess and repair it.
3. Agency or service area: New York City Department of Transportation (DOT).
4. Notes from project or NYC 311 data: Sidewalk and street condition complaints are commonly handled by DOT. Response times vary, but many street condition issues are resolved promptly. Reporting the precise location helps prioritize repairs.
5. Escalation guidance if needed: If the sidewalk poses an immediate danger to public safety, call 911. Otherwise, use 311 to report the issue for non-emergency response."
A streetlight is out.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,none,PASS,"1. Likely issue: A streetlight is not working (Street Light Out).
2. Recommended next step: File a 311 complaint reporting the exact location of the streetlight that is out to the NYC Department of Transportation (DOT).
3. Agency or service area: NYC Department of Transportation (DOT).
4. Notes from project or NYC 311 data: Street Light Condition complaints are common with over 286,000 records. DOT typically handles these issues. Response times vary, and some complaints may not close the same day.
5. Escalation guidance if needed: If the streetlight outage poses a safety hazard or is related to an emergency, call 911 immediately. Otherwise, follow up with 311 if the issue is not resolved in a reasonable time. 

This prototype does not submit official 311 requests or check live request status."
The traffic signal is not working.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,311_urgent_or_911_if_immediate_danger,PASS,"1. Likely issue: A malfunctioning or non-working traffic signal.

2. Recommended next step: File a 311 complaint specifically about the traffic signal condition, providing the exact location of the signal that is not working. This helps the responsible agency address the issue promptly.

3. Agency or service area: New York City Department of Transportation (DOT) is typically responsible for traffic signal maintenance.

4. Notes from project or NYC 311 data: Traffic Signal Condition complaints are common, with over 260,000 records, indicating this is a frequent issue. Median response times vary, but reporting the exact location helps prioritize repairs.

5. Escalation guidance if needed: If the non-working traffic signal is causing immediate danger or risk of accidents, call 911 for urgent assistance. Otherwise, use 311 to report the issue."
There is a damaged street sign.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,none,PASS,"1. Likely issue: Damaged street sign reported as a street or sidewalk condition issue.
2. Recommended next step: File a 311 complaint specifying the exact location of the damaged street sign so the appropriate agency can address it.
3. Agency or service area: Likely the Department of Transportation (DOT).
4. Notes from project or NYC 311 data: Street sign damage typically falls under DOT jurisdiction. While street condition complaints like potholes are common and often resolved quickly, damaged street signs are less frequent but still managed by DOT. Providing precise location details helps ensure timely response.
5. Escalation guidance if needed: If the damaged sign poses an immediate safety hazard (e.g., traffic confusion or risk of falling), call 911. Otherwise, follow up with 311 if the issue is not resolved in a reasonable time."
A car is blocking my driveway.,parking_vehicle,parking_vehicle,0.6,NYPD or DOT depending on the vehicle issue,File a 311 illegal parking or abandoned vehicle complaint if it is not an emergency.,none,PASS,"1. Likely issue: A vehicle is illegally blocking your driveway, preventing access.

2. Recommended next step: If this is not an emergency, you can file a 311 complaint for illegal parking or an abandoned vehicle, depending on the situation. This is the standard way to report vehicles blocking driveways in NYC.

3. Agency or service area: The New York Police Department (NYPD) or the Department of Transportation (DOT) typically handle illegal parking complaints.

4. Notes from project or NYC 311 data: Illegal parking is the most common complaint type with over 2.6 million records, indicating a high volume of similar issues. Median response time is about 4.6 hours, but some cases may take longer.

5. Escalation guidance if needed: If the vehicle is causing an immediate safety hazard or emergency, call 911. Otherwise, use 311 to report the issue for resolution. This prototype does not submit complaints or check live status."
There is an abandoned vehicle on my block.,parking_vehicle,parking_vehicle,0.75,NYPD or DOT depending on the vehicle issue,File a 311 illegal parking or abandoned vehicle complaint if it is not an emergency.,none,PASS,"1. Likely issue: An abandoned vehicle has been reported on your block.

2. Recommended next step: You can file a 311 complaint specifically for an abandoned vehicle or illegal parking if the vehicle is not causing an emergency or immediate hazard.

3. Agency or service area: The complaint will likely be handled by the NYPD or the Department of Transportation (DOT), depending on the situation.

4. Notes from project or NYC 311 data: Abandoned vehicle complaints are common, with over 365,000 records in the dataset, and illegal parking is the most frequent complaint type overall. Median response times vary, but many cases are resolved within hours.

5. Escalation guidance if needed: If the vehicle poses an immediate safety risk or emergency, call 911. Otherwise, filing a 311 complaint is the appropriate channel. This prototype does not submit requests or check live status."
Someone parked in a bus stop.,parking_vehicle,parking_vehicle,0.6,NYPD or DOT depending on the vehicle issue,File a 311 illegal parking or abandoned vehicle complaint if it is not an emergency.,none,PASS,"1. Likely issue: Illegal parking in a bus stop.

2. Recommended next step: You can file a 311 complaint for illegal parking if the vehicle is blocking the bus stop and it is not an emergency. This helps city agencies address the issue.

3. Agency or service area: The complaint will likely be handled by the NYPD or the Department of Transportation (DOT), depending on the specifics of the vehicle and location.

4. Notes from project or NYC 311 data: Illegal parking is one of the most common complaint types in NYC, with over 2.6 million records historically. Bus stop parking violations are a frequent concern and typically addressed through 311 complaints.

5. Escalation guidance if needed: If the illegally parked vehicle is causing an immediate safety hazard or emergency, call 911 instead. Otherwise, submitting a 311 complaint is the appropriate non-emergency route."
A vehicle has no plates and has been sitting for weeks.,parking_vehicle,parking_vehicle,0.75,NYPD or DOT depending on the vehicle issue,File a 311 illegal parking or abandoned vehicle complaint if it is not an emergency.,none,PASS,"1. Likely issue: A vehicle without license plates has been parked and left unattended for weeks, which may indicate an abandoned or illegally parked vehicle.

2. Recommended next step: You can file a 311 complaint for either illegal parking or an abandoned vehicle. This will alert the appropriate city agency to investigate and take action if necessary.

3. Agency or service area: The New York Police Department (NYPD) or the Department of Transportation (DOT) typically handle these issues depending on the specific circumstances.

4. Notes from project or NYC 311 data: Illegal parking is one of the most common complaint types in NYC, with over 2.6 million records, and abandoned vehicle complaints are also frequent. Response times vary, with some cases resolved quickly and others taking longer.

5. Escalation guidance if needed: If the vehicle poses an immediate safety hazard or is involved in a crime, call 911. Otherwise, filing a 311 complaint is the appropriate non-emergency step."
Can I report illegal parking through 311?,parking_vehicle,parking_vehicle,0.6,NYPD or DOT depending on the vehicle issue,File a 311 illegal parking or abandoned vehicle complaint if it is not an emergency.,none,PASS,"1. Likely issue: Reporting illegal parking of a vehicle.

2. Recommended next step: You can file a complaint about illegal parking through NYC 311, either online or by phone, if the situation is not an emergency.

3. Agency or service area: The New York Police Department (NYPD) typically handles illegal parking complaints.

4. Notes from project or NYC 311 data: Illegal parking is the most common complaint type with over 2.6 million records. Most illegal parking complaints are resolved by NYPD, often on the same day. Response times vary but median is around 4.6 hours.

5. Escalation guidance if needed: If the illegal parking creates an immediate safety hazard, such as blocking emergency access or a fire hydrant, and requires urgent attention, call 911 instead of 311. For non-emergencies, 311 is the right channel."
There are rats in the alley.,rodents_pests,rodents_pests,0.75,DOHMH,File a 311 rodent or pest complaint and include where the activity was seen.,none,PASS,"1. Likely issue: Presence of rats in an alley, indicating a rodent problem.
2. Recommended next step: File a 311 rodent or pest complaint through the official NYC 311 system, providing the exact location of the alley where the rats were seen.
3. Agency or service area: New York City Department of Health and Mental Hygiene (DOHMH).
4. Notes from project or NYC 311 data: Rodent complaints are common, with over 225,000 recorded cases. Median response times vary, and some cases may experience delays. Providing precise location details helps prioritize response.
5. Escalation guidance if needed: No special escalation route is indicated. For emergencies involving health risks or safety threats related to rodents, contacting 311 is appropriate. For urgent health hazards, consider calling 911."
I saw rats near a restaurant.,rodents_pests,rodents_pests,0.75,DOHMH,File a 311 rodent or pest complaint and include where the activity was seen.,none,PASS,"1. Likely issue: Rodent (rat) sighting near a restaurant.
2. Recommended next step: File a 311 rodent or pest complaint, providing the exact location where you saw the rats.
3. Agency or service area: NYC Department of Health and Mental Hygiene (DOHMH).
4. Notes from project or NYC 311 data: Rodent complaints are common in NYC, with over 225,000 recorded cases. DOHMH handles rodent control and pest complaints. Response times vary, with some cases resolved quickly and others taking longer.
5. Escalation guidance if needed: If you observe a safety threat, such as aggressive rodents or health hazards, or if the situation worsens, consider contacting 311 again or DOHMH directly. For emergencies or immediate danger, call 911."
My building has a roach problem.,housing_condition,housing_condition,0.75,HPD,File a 311 housing maintenance complaint with location and condition details.,none,PASS,"1. Likely issue: Your building has a roach infestation, which is a housing maintenance problem.

2. Recommended next step: File a 311 housing maintenance complaint providing the exact location and details about the roach problem in your building.

3. Agency or service area: New York City Department of Housing Preservation and Development (HPD).

4. Notes from project or NYC 311 data: Housing condition complaints like pest infestations are commonly routed to HPD for investigation and enforcement. Response times can vary, but early reporting helps prioritize inspections.

5. Escalation guidance if needed: If the infestation poses an immediate health hazard or if you experience lack of response after filing a complaint, you may follow up with HPD directly or seek tenant advocacy resources. For emergencies or health threats, call 911."
There are rodents around trash outside.,rodents_pests,trash_sanitation,0.6,DSNY,File a 311 sanitation complaint and include the location and type of missed or improper collection.,none,REVIEW,"1. Likely issue: Rodents attracted by trash outside, possibly due to missed or improper trash collection or illegal dumping.

2. Recommended next step: File a 311 sanitation complaint with the Department of Sanitation (DSNY), providing the exact location and details about the trash and rodent issue.

3. Agency or service area: Department of Sanitation New York (DSNY).

4. Notes from project or NYC 311 data: Rodent complaints often relate to sanitation issues such as trash buildup. DSNY handles trash collection and sanitation complaints. Median response time for sanitation complaints is around 4.6 hours, but some cases take longer. Providing clear location details helps improve response.

5. Escalation guidance if needed: If the rodent situation poses an immediate health hazard or if you observe other urgent safety concerns, consider contacting 311 for further guidance. For emergencies, call 911."
Who handles pest complaints?,rodents_pests,rodents_pests,0.6,DOHMH,File a 311 rodent or pest complaint and include where the activity was seen.,none,PASS,"1. Likely issue: Pest complaints, including rodents.

2. Recommended next step: File a 311 complaint specifically for rodents or pests. Be sure to include the exact location where you have seen pest activity to help the Department of Health and Mental Hygiene (DOHMH) respond effectively.

3. Agency or service area: New York City Department of Health and Mental Hygiene (DOHMH).

4. Notes from project or NYC 311 data: Rodent complaints are a common issue with over 225,000 recorded cases, indicating a significant volume of pest-related requests. The DOHMH is the primary agency responsible for handling these complaints.

5. Escalation guidance if needed: There is no specific escalation route noted. For urgent health threats or emergencies related to pests, consider contacting 311 promptly. If you experience a safety threat or emergency, call 911 immediately.

Please note this prototype does not submit official 311 requests or check live request status."
There is broken playground equipment.,parks_public_space,housing_condition,0.6,HPD,File a 311 housing maintenance complaint with location and condition details.,none,REVIEW,"1. Likely issue: Broken playground equipment, which may be considered a housing maintenance or public safety concern.
2. Recommended next step: File a 311 housing maintenance complaint providing the exact location and details about the broken equipment.
3. Agency or service area: NYC Department of Housing Preservation and Development (HPD) is likely responsible.
4. Notes from project or NYC 311 data: The intent classification shows moderate confidence for housing condition issues related to ""broken"" items. While playground equipment is often managed by Parks, if this is within a housing development, HPD handles maintenance complaints.
5. Escalation guidance if needed: If the broken equipment poses an immediate safety hazard, avoid delay and call 911. Otherwise, follow up with 311 if no timely repair occurs."
A park bathroom is dirty.,parks_public_space,parks_public_space,0.75,NYC Parks,File a 311 parks or tree condition complaint with the park/location details.,none,PASS,"1. Likely issue: The user is reporting that a park bathroom is dirty or unsanitary.

2. Recommended next step: You can file a 311 complaint specifically about the condition of the park bathroom, including the park name and location details to help NYC Parks address the issue.

3. Agency or service area: NYC Parks Department is responsible for maintenance and cleanliness of park facilities.

4. Notes from project or NYC 311 data: While the most common complaints overall relate to illegal parking and street conditions, complaints about park facilities like bathrooms are routed to NYC Parks. Response times can vary, but providing detailed location information helps prioritize service.

5. Escalation guidance if needed: If the bathroom condition poses an immediate health hazard or safety risk, consider calling 311 promptly. For emergencies or urgent safety concerns, call 911."
There is graffiti in the park.,parks_public_space,parks_public_space,0.75,NYC Parks,File a 311 parks or tree condition complaint with the park/location details.,none,PASS,"1. Likely issue: Graffiti vandalism in a public park.
2. Recommended next step: You can file a 311 complaint specifically for parks or tree conditions, providing the exact park name or location details to help NYC Parks address the graffiti removal.
3. Agency or service area: NYC Parks Department.
4. Notes from project or NYC 311 data: Graffiti in parks is typically handled by NYC Parks. While illegal parking is the most common complaint overall, graffiti issues in parks are a recognized category and can be reported through 311 for timely cleanup.
5. Escalation guidance if needed: There is no special escalation route for this issue; if the graffiti poses a safety hazard or is part of a larger vandalism problem, you may want to report it again or contact local community boards for additional support.

This prototype does not submit official 311 requests or check live status. For emergencies or safety threats, please call 911."
A tree branch fell in the street.,parks_public_space,parks_public_space,0.75,NYC Parks,File a 311 parks or tree condition complaint with the park/location details.,none,PASS,"1. Likely issue: A fallen tree branch in the street, which is a parks or tree condition concern.
2. Recommended next step: File a 311 complaint specifically for parks or tree conditions, providing the exact location details where the branch fell.
3. Agency or service area: NYC Parks Department.
4. Notes from project or NYC 311 data: Damaged tree complaints are common and typically handled by NYC Parks. Reporting helps ensure timely removal and street safety.
5. Escalation guidance if needed: No escalation route is indicated; if the branch poses an immediate hazard to traffic or pedestrians, consider calling 911 for emergency assistance."
There is a dead tree near my building.,parks_public_space,parks_public_space,0.75,NYC Parks,File a 311 parks or tree condition complaint with the park/location details.,none,PASS,"1. Likely issue: A dead tree near your building that may pose a safety or aesthetic concern.
2. Recommended next step: File a 311 complaint specifically for parks or tree conditions, providing the exact location or park name if applicable.
3. Agency or service area: NYC Parks Department is responsible for managing trees in public spaces.
4. Notes from project or NYC 311 data: Dead or damaged tree complaints are common and typically handled by NYC Parks. Reporting helps prioritize tree removal or maintenance to ensure public safety and park health.
5. Escalation guidance if needed: No special escalation route is indicated; if the dead tree poses an immediate safety hazard (e.g., risk of falling), consider calling 911 for emergency assistance. Otherwise, follow up with 311 for status updates."
I already filed a complaint. How do I check the status?,status_followup,status_followup,0.75,NYC 311 / responsible agency listed on the service request,Use the service request number to check status through NYC 311 or the official 311 portal.,none,PASS,"1. Likely issue: You want to check the status of a previously filed NYC 311 complaint or service request.

2. Recommended next step: Use your service request number to check the status online through the official NYC 311 website or by calling NYC 311 directly. The service request number is key to tracking your complaint.

3. Agency or service area: NYC 311 and the specific agency responsible for your complaint (as listed on your service request).

4. Notes from project or NYC 311 data: Status follow-up requests typically require the service request number for efficient tracking. The median response time for NYC 311 requests is about 4.6 hours, but some cases may take longer.

5. Escalation guidance if needed: If you cannot find your service request number or need further assistance, contact NYC 311 directly. For emergencies or urgent safety issues, call 911 immediately.

Please note this prototype does not submit requests or check live status data."
My 311 complaint was closed but nothing was fixed.,status_followup,status_followup,0.75,NYC 311 / responsible agency listed on the service request,Use the service request number to check status through NYC 311 or the official 311 portal.,none,PASS,"1. Likely issue: Your 311 complaint was marked as closed, but the reported problem was not resolved.

2. Recommended next step: Use your original service request number to check the status and details of the complaint through the official NYC 311 website or by calling 311 again. This can help confirm what actions were taken or if further follow-up is needed.

3. Agency or service area: The responsible agency depends on the original complaint type listed on your service request. NYC 311 coordinates with various city agencies based on the issue.

4. Notes from project or NYC 311 data: Many complaints, especially high-volume types like Illegal Parking or Noise, may show delays or discrepancies between closure and resolution. Median response times vary, and some cases close without full resolution due to various factors.

5. Escalation guidance if needed: If the issue persists and was not addressed after follow-up, you may consider submitting a new complaint or requesting escalation through 311. For emergencies or safety concerns, call 911 immediately.

This prototype does not submit or update official 311 requests or check live status but aims to guide you on next steps."
Why does my complaint say no action taken?,status_followup,status_followup,0.6,NYC 311 / responsible agency listed on the service request,Use the service request number to check status through NYC 311 or the official 311 portal.,none,PASS,"1. Likely issue: Your complaint status shows ""no action taken"" because the responsible agency has not yet addressed the issue reported in your service request.

2. Recommended next step: Use your service request number to check the current status and any updates through the official NYC 311 website or by calling 311 directly.

3. Agency or service area: The responsible agency listed on your original service request is the best contact point for follow-up.

4. Notes from project or NYC 311 data: Response times vary widely, with some cases resolved quickly and others taking much longer. High-volume complaint types like Illegal Parking or Noise often have many requests, which can affect response times.

5. Escalation guidance if needed: If your issue involves an emergency, safety threat, crime in progress, fire, gas smell, or medical problem, call 911 immediately. For non-emergencies, contacting 311 again for clarification or to escalate your concern is recommended."
